id	file	length_offset	text_offset	source	translation	control_codes	status	notes
Script/eventmode.binu8@1173	Script/eventmode.binu8	1169	1173	イベントの最初に戻りました	返回事件开头		初译完成	第一幕开场段；结合上下文人工初译
Script/eventmode.binu8@1217	Script/eventmode.binu8	1213	1217	イベントモード中は使用できません	事件模式中无法使用		初译完成	第一幕开场段；结合上下文人工初译
Script/eventmode.binu8@1270	Script/eventmode.binu8	1266	1270	Title			未翻译	
Script/eventmode.binu8@1284	Script/eventmode.binu8	1280	1284	nEventNo			未翻译	
Script/replaymode.binu8@2821	Script/replaymode.binu8	2817	2821	回想の最初に戻りました	返回回想开头		初译完成	第一幕开场段；结合上下文人工初译
Script/replaymode.binu8@2859	Script/replaymode.binu8	2855	2859	回想モード中は使用できません	回想模式中无法使用		初译完成	第一幕开场段；结合上下文人工初译
Script/replaymode.binu8@2906	Script/replaymode.binu8	2902	2906	kg04_02PC.bin			未翻译	
Script/replaymode.binu8@2924	Script/replaymode.binu8	2920	2924	kg05_02PC.bin			未翻译	
Script/replaymode.binu8@2942	Script/replaymode.binu8	2938	2942	kg06_02PC.bin			未翻译	
Script/replaymode.binu8@2960	Script/replaymode.binu8	2956	2960	kg08_04PC.bin			未翻译	
Script/replaymode.binu8@2978	Script/replaymode.binu8	2974	2978	kg09_02PC.bin			未翻译	
Script/replaymode.binu8@2996	Script/replaymode.binu8	2992	2996	kg12_02PC.bin			未翻译	
Script/replaymode.binu8@3014	Script/replaymode.binu8	3010	3014	kg99_02PC.bin			未翻译	
Script/replaymode.binu8@3032	Script/replaymode.binu8	3028	3032	Title			未翻译	
Script/replaymode.binu8@3046	Script/replaymode.binu8	3042	3046	sceneNo : bank(0)			未翻译	
Script/scenario01_1.binu8@64397	Script/scenario01_1.binu8	64393	64397	最初に戻りました	已回到开头		初译完成	第一幕开场段；结合上下文人工初译
Script/scenario01_1.binu8@64426	Script/scenario01_1.binu8	64422	64426	ぺらりぺらり	沙啦，沙啦		初译完成	第一幕开场段；结合上下文人工初译
Script/scenario01_1.binu8@64449	Script/scenario01_1.binu8	64445	64449	Mirai_0000			未翻译	
Script/scenario01_1.binu8@64464	Script/scenario01_1.binu8	64460	64464	　私は世の中の真実を知っている。@n　私は世の中の醜さを知っている。	　与神明比肩的唯一办法。@n　即是同神明一般残酷。	@n	PC版替换待抽检	来自电脑端汉化补丁；按语音标记与场景区块对齐，待抽样复核
Script/scenario01_1.binu8@64567	Script/scenario01_1.binu8	64563	64567	　私は世の中の不条理を、知っている。	此世之荒诞，我感同身受。		PC版替换待抽检	来自电脑端汉化补丁；按场景、PC原文及出现次序安全对齐，待抽样复核
Script/scenario01_1.binu8@64626	Script/scenario01_1.binu8	64622	64626	　あの月を掴むことが出来ていれば、何かが変わっていたのだろうか。	若是能将那月亮握于手中，或许能改变什么吧。		PC版替换待抽检	来自电脑端汉化补丁；按场景、PC原文及出现次序安全对齐，待抽样复核
Script/scenario01_1.binu8@64727	Script/scenario01_1.binu8	64723	64727	　不可能を可能にすることが、私には必要だった。@n　けれども、すべてはもう手遅れだ。	　让不可能成为可能，是我必须做到的事。@n　可是，一切都已经太迟了。	@n	初译完成	第一幕开场段；结合上下文人工初译
Script/scenario01_1.binu8@64854	Script/scenario01_1.binu8	64850	64854	　不条理は背筋を這うように、いつもそこに在る。@n　懸命に振り切ろうとも、奴らはどこまでも追いかけてくる。	　不合理之物总是存在，像是沿着脊背缓缓爬行。@n　哪怕拼命想甩开它们，它们也会无论天涯海角地追上来。	@n	初译完成	第一幕开场段；结合上下文人工初译
Script/scenario01_1.binu8@65014	Script/scenario01_1.binu8	65010	65014	　だから私は、世界を呪う。	所以，我诅咒这个世界。		PC版替换待抽检	来自电脑端汉化补丁；按场景、PC原文及出现次序安全对齐，待抽样复核
Script/scenario01_1.binu8@65058	Script/scenario01_1.binu8	65054	65058	　白髪赤目の系譜に、不条理への憎しみを歌おう。	自那白发赤瞳的族系中，向着荒诞高歌着憎恶。		PC版替换待抽检	来自电脑端汉化补丁；按场景、PC原文及出现次序安全对齐，待抽样复核
Script/scenario01_1.binu8@65132	Script/scenario01_1.binu8	65128	65132	氷狐	折原冰狐		术语检查	独立角色名；依据人物名表
Script/scenario01_1.binu8@65143	Script/scenario01_1.binu8	65139	65143	@vMirai_0001「カリギュラ」	@vMirai_0001「卡利古拉（罗马著名暴君：盖乌斯·尤里乌斯·恺撒·奥古斯都·日耳曼尼库斯）」	@vMirai_0001	PC版替换待抽检	来自电脑端汉化补丁；按语音编号对齐，待抽样复核
